blk2010gj,blk2010ge,blk2020gj,blk2020ge,parea,weight
G15000100201001371,150010201001371,G15000100201003043,150010201003043,1,1
G15000100201002000,150010201002000,G15000100201002019,150010201002019,1,1
G15000100201002001,150010201002001,G15000100201002019,150010201002019,1,1
G15000100201002002,150010201002002,G15000100201002019,150010201002019,1,1
G15000100201002003,150010201002003,G15000100201002019,150010201002019,1,1
G15000100201002004,150010201002004,G15000100201002019,150010201002019,0.9999431717,0.9897785368
G15000100201002004,150010201002004,G15000100201002020,150010201002020,0.0000054239,0.0005989484
G15000100201002004,150010201002004,G15000100201002054,150010201002054,0.0000514044,0.0096225148
G15000100201002005,150010201002005,G15000100201002024,150010201002024,1,1
G15000100201002006,150010201002006,G15000100201002028,150010201002028,1,1
G15000100201002007,150010201002007,G15000100201002019,150010201002019,1,1
G15000100201002008,150010201002008,G15000100201002019,150010201002019,1,1
G15000100201002009,150010201002009,G15000100201002019,150010201002019,1,1
G15000100201002010,150010201002010,G15000100201002028,150010201002028,1,1
G15000100201002011,150010201002011,G15000100201002020,150010201002020,1,1
G15000100201002012,150010201002012,G15000100201002026,150010201002026,1,1
G15000100201002013,150010201002013,G15000100201002023,150010201002023,1,1
G15000100201002014,150010201002014,G15000100201002022,150010201002022,1,1
G15000100201002015,150010201002015,G15000100201002019,150010201002019,1,1
G15000100201002016,150010201002016,G15000100201002028,150010201002028,1,1
G15000100201002017,150010201002017,G15000100201002019,150010201002019,1,1
G15000100201002018,150010201002018,G15000100201002020,150010201002020,1,1
G15000100201002019,150010201002019,G15000100201002029,150010201002029,1,1
G15000100201002020,150010201002020,G15000100201002029,150010201002029,1,1
G15000100201002021,150010201002021,G15000100201002030,150010201002030,1,1
G15000100201002022,150010201002022,G15000100201002031,150010201002031,1,1
G15000100201002023,150010201002023,G15000100201002032,150010201002032,1,1
G15000100201002024,150010201002024,G15000100201002030,150010201002030,1,1
G15000100201002025,150010201002025,G15000100201002031,150010201002031,1,1
G15000100201002026,150010201002026,G15000100201002030,150010201002030,1,1
G15000100201002027,150010201002027,G15000100201002038,150010201002038,1,1
G15000100201002028,150010201002028,G15000100201002038,150010201002038,1,1
G15000100201002029,150010201002029,G15000100201002038,150010201002038,1,1
G15000100201002030,150010201002030,G15000100201002037,150010201002037,1,1
G15000100201002031,150010201002031,G15000100201002039,150010201002039,1,1
